id_rodada,trecho,refatoracao_tipo,persona,replica,status,complexity_base,complexity_pos,complexity_delta,smells_base,smells_pos,smells_delta,tempo_execucao_seg,token_count,prompt_tokens,candidates_tokens
1,Math_1_ExtractMethod_141,ExtractMethod,P-1,1,VALIDO,13,18,5,1,0,-1,55.67,10125,1484,1723
2,Math_1_ExtractMethod_141,ExtractMethod,P-1,2,VALIDO,13,17,4,1,0,-1,39.83,8801,1484,1702
3,Math_1_ExtractMethod_141,ExtractMethod,P-2,1,VALIDO,13,17,4,1,0,-1,39.61,6954,1428,1683
4,Math_1_ExtractMethod_141,ExtractMethod,P-2,2,VALIDO,13,17,4,1,0,-1,36.62,7429,1428,1668
5,Math_1_ExtractMethod_141,ExtractMethod,P-3,1,VALIDO,13,17,4,1,0,-1,50.37,8841,1435,1734
6,Math_1_ExtractMethod_141,ExtractMethod,P-3,2,VALIDO,13,17,4,1,0,-1,77.96,9514,1435,1550
7,Math_1_ExtractMethod_141,ExtractMethod,P-4,1,VALIDO,13,20,7,1,1,0,62.6,8078,1456,1643
8,Math_1_ExtractMethod_141,ExtractMethod,P-4,2,VALIDO,13,21,8,1,0,-1,51.66,8662,1456,1765
9,Math_1_ExtractMethod_116,ExtractMethod,P-1,1,VALIDO,22,25,3,5,4,-1,55.79,4504,1415,1543
10,Math_1_ExtractMethod_116,ExtractMethod,P-1,2,VALIDO,22,27,5,5,2,-3,55.02,6341,1415,1654
11,Math_1_ExtractMethod_116,ExtractMethod,P-2,1,VALIDO,22,25,3,5,2,-3,60.58,5720,1359,1538
12,Math_1_ExtractMethod_116,ExtractMethod,P-2,2,VALIDO,22,25,3,5,4,-1,50.45,6493,1359,1624
13,Math_1_ExtractMethod_116,ExtractMethod,P-3,1,VALIDO,22,26,4,5,2,-3,44.92,6315,1366,1575
14,Math_1_ExtractMethod_116,ExtractMethod,P-3,2,VALIDO,22,25,3,5,4,-1,40.18,5579,1366,1557
15,Math_1_ExtractMethod_116,ExtractMethod,P-4,1,VALIDO,22,25,3,5,4,-1,41.06,5295,1387,1567
16,Math_1_ExtractMethod_116,ExtractMethod,P-4,2,VALIDO,22,25,3,5,4,-1,40.72,5950,1387,1556
