trecho,persona,refatoracao_tipo,complexity_delta,smells_delta,n_valid
Math_1_ExtractMethod_115,P-1,ExtractMethod,4.5,-1.0,2
Math_1_ExtractMethod_115,P0,ExtractMethod,5.5,-1.0,2
Math_1_ExtractMethod_115,P1,ExtractMethod,5.5,-1.0,2
Math_1_ExtractMethod_115,P2,ExtractMethod,5.5,-1.0,2
Math_1_ExtractMethod_116,P-1,ExtractMethod,4.0,-2.0,2
Math_1_ExtractMethod_116,P0,ExtractMethod,3.0,-2.0,2
Math_1_ExtractMethod_116,P1,ExtractMethod,3.5,-2.0,2
Math_1_ExtractMethod_116,P2,ExtractMethod,3.0,-1.0,2
Math_1_ExtractMethod_119,P-1,ExtractMethod,7.5,0.0,2
Math_1_ExtractMethod_119,P0,ExtractMethod,7.0,-0.5,2
Math_1_ExtractMethod_119,P1,ExtractMethod,6.5,-0.5,2
Math_1_ExtractMethod_119,P2,ExtractMethod,6.5,0.0,2
Math_1_ExtractMethod_121,P-1,ExtractMethod,2.5,5.0,2
Math_1_ExtractMethod_121,P0,ExtractMethod,3.5,5.0,2
Math_1_ExtractMethod_121,P1,ExtractMethod,5.5,5.0,2
Math_1_ExtractMethod_121,P2,ExtractMethod,4.0,-2.5,2
Math_1_ExtractMethod_140,P-1,ExtractMethod,5.5,-1.0,2
Math_1_ExtractMethod_140,P0,ExtractMethod,5.5,-1.0,2
Math_1_ExtractMethod_140,P1,ExtractMethod,3.5,-1.0,2
Math_1_ExtractMethod_140,P2,ExtractMethod,6.0,-1.0,2
Math_1_ExtractMethod_141,P-1,ExtractMethod,4.5,-1.0,2
Math_1_ExtractMethod_141,P0,ExtractMethod,4.0,-1.0,2
Math_1_ExtractMethod_141,P1,ExtractMethod,4.0,-1.0,2
Math_1_ExtractMethod_141,P2,ExtractMethod,7.5,-0.5,2
Math_1_ExtractMethod_144,P-1,ExtractMethod,7.0,3.0,1
Math_1_ExtractMethod_144,P0,ExtractMethod,6.0,-1.0,2
Math_1_ExtractMethod_144,P1,ExtractMethod,7.0,-1.0,2
Math_1_ExtractMethod_144,P2,ExtractMethod,7.0,-1.0,2
Math_1_ExtractMethod_156,P-1,ExtractMethod,4.0,0.0,2
Math_1_ExtractMethod_156,P0,ExtractMethod,4.0,0.0,2
Math_1_ExtractMethod_156,P1,ExtractMethod,5.0,0.0,2
Math_1_ExtractMethod_156,P2,ExtractMethod,8.5,-0.5,2
Math_1_ExtractMethod_159,P-1,ExtractMethod,5.0,2.0,2
Math_1_ExtractMethod_159,P0,ExtractMethod,5.0,2.0,2
Math_1_ExtractMethod_159,P1,ExtractMethod,5.5,2.0,2
Math_1_ExtractMethod_159,P2,ExtractMethod,5.5,1.5,2
Math_1_ExtractMethod_182,P-1,ExtractMethod,5.0,-1.0,2
Math_1_ExtractMethod_182,P0,ExtractMethod,5.5,-1.0,2
Math_1_ExtractMethod_182,P1,ExtractMethod,4.5,-0.5,2
