"trecho","persona","s109_delta"
"Math_1_ReplaceMagicNumber_110","P-1",-3
"Math_1_ReplaceMagicNumber_157","P-1",-1
"Math_1_ReplaceMagicNumber_163","P-1",-1
"Math_1_ReplaceMagicNumber_167","P-1",-1
"Math_1_ReplaceMagicNumber_169","P-1",-1
"Math_1_ReplaceMagicNumber_181","P-1",-1
"Math_1_ReplaceMagicNumber_189","P-1",-1
"Math_1_ReplaceMagicNumber_194","P-1",-1
"Math_1_ReplaceMagicNumber_195","P-1",-1
"Math_1_ReplaceMagicNumber_201","P-1",-1
"Math_1_ReplaceMagicNumber_110","P0",-3
"Math_1_ReplaceMagicNumber_157","P0",-1
"Math_1_ReplaceMagicNumber_163","P0",-1
"Math_1_ReplaceMagicNumber_167","P0",-1
"Math_1_ReplaceMagicNumber_169","P0",-1
"Math_1_ReplaceMagicNumber_181","P0",-1
"Math_1_ReplaceMagicNumber_189","P0",-1
"Math_1_ReplaceMagicNumber_194","P0",-1
"Math_1_ReplaceMagicNumber_195","P0",-1
"Math_1_ReplaceMagicNumber_201","P0",-1
"Math_1_ReplaceMagicNumber_110","P1",-3
"Math_1_ReplaceMagicNumber_157","P1",-1
"Math_1_ReplaceMagicNumber_163","P1",-1
"Math_1_ReplaceMagicNumber_167","P1",-1
"Math_1_ReplaceMagicNumber_169","P1",-1
"Math_1_ReplaceMagicNumber_181","P1",-1
"Math_1_ReplaceMagicNumber_189","P1",-1
"Math_1_ReplaceMagicNumber_194","P1",-1
"Math_1_ReplaceMagicNumber_195","P1",-1
"Math_1_ReplaceMagicNumber_201","P1",-1
"Math_1_ReplaceMagicNumber_110","P2",-3
"Math_1_ReplaceMagicNumber_157","P2",-1
"Math_1_ReplaceMagicNumber_163","P2",-1
"Math_1_ReplaceMagicNumber_167","P2",-1
"Math_1_ReplaceMagicNumber_169","P2",-1
"Math_1_ReplaceMagicNumber_181","P2",-1
"Math_1_ReplaceMagicNumber_189","P2",-1
"Math_1_ReplaceMagicNumber_194","P2",-1
"Math_1_ReplaceMagicNumber_195","P2",-1
"Math_1_ReplaceMagicNumber_201","P2",-1
