trecho,persona,replica,s109_base,s109_pos,s109_delta
Math_1_ReplaceMagicNumber_194,P-1,1,1,0,-1
Math_1_ReplaceMagicNumber_194,P-1,2,1,0,-1
Math_1_ReplaceMagicNumber_194,P-2,1,1,0,-1
Math_1_ReplaceMagicNumber_194,P-2,2,1,0,-1
Math_1_ReplaceMagicNumber_194,P-3,1,1,0,-1
Math_1_ReplaceMagicNumber_194,P-3,2,1,0,-1
Math_1_ReplaceMagicNumber_194,P-4,1,1,0,-1
Math_1_ReplaceMagicNumber_194,P-4,2,1,0,-1
Math_1_ReplaceMagicNumber_201,P-1,1,1,0,-1
Math_1_ReplaceMagicNumber_201,P-1,2,1,0,-1
Math_1_ReplaceMagicNumber_201,P-2,1,1,0,-1
Math_1_ReplaceMagicNumber_201,P-2,2,1,0,-1
Math_1_ReplaceMagicNumber_201,P-3,1,1,0,-1
Math_1_ReplaceMagicNumber_201,P-3,2,1,0,-1
Math_1_ReplaceMagicNumber_201,P-4,1,1,0,-1
Math_1_ReplaceMagicNumber_201,P-4,2,1,0,-1
Math_1_ReplaceMagicNumber_169,P-1,1,1,0,-1
Math_1_ReplaceMagicNumber_169,P-1,2,1,0,-1
Math_1_ReplaceMagicNumber_169,P-2,1,1,0,-1
Math_1_ReplaceMagicNumber_169,P-2,2,1,0,-1
Math_1_ReplaceMagicNumber_169,P-3,1,1,0,-1
Math_1_ReplaceMagicNumber_169,P-3,2,1,0,-1
Math_1_ReplaceMagicNumber_169,P-4,1,1,0,-1
Math_1_ReplaceMagicNumber_169,P-4,2,1,0,-1
Math_1_ReplaceMagicNumber_167,P-1,1,1,0,-1
Math_1_ReplaceMagicNumber_167,P-1,2,1,0,-1
Math_1_ReplaceMagicNumber_167,P-2,1,1,0,-1
Math_1_ReplaceMagicNumber_167,P-2,2,1,0,-1
Math_1_ReplaceMagicNumber_167,P-3,1,1,0,-1
Math_1_ReplaceMagicNumber_167,P-3,2,1,0,-1
Math_1_ReplaceMagicNumber_167,P-4,1,1,0,-1
Math_1_ReplaceMagicNumber_167,P-4,2,1,0,-1
Math_1_ReplaceMagicNumber_189,P-1,1,1,0,-1
Math_1_ReplaceMagicNumber_189,P-1,2,1,0,-1
Math_1_ReplaceMagicNumber_189,P-2,1,1,0,-1
Math_1_ReplaceMagicNumber_189,P-2,2,1,0,-1
Math_1_ReplaceMagicNumber_189,P-3,1,1,0,-1
Math_1_ReplaceMagicNumber_189,P-3,2,1,0,-1
Math_1_ReplaceMagicNumber_189,P-4,1,1,0,-1
Math_1_ReplaceMagicNumber_189,P-4,2,1,0,-1
Math_1_ReplaceMagicNumber_110,P-1,1,3,0,-3
Math_1_ReplaceMagicNumber_110,P-1,2,3,0,-3
Math_1_ReplaceMagicNumber_110,P-2,1,3,0,-3
Math_1_ReplaceMagicNumber_110,P-2,2,3,0,-3
Math_1_ReplaceMagicNumber_110,P-3,1,3,0,-3
Math_1_ReplaceMagicNumber_110,P-3,2,3,0,-3
Math_1_ReplaceMagicNumber_110,P-4,1,3,0,-3
Math_1_ReplaceMagicNumber_110,P-4,2,3,0,-3
Math_1_ReplaceMagicNumber_163,P-1,1,1,0,-1
Math_1_ReplaceMagicNumber_163,P-1,2,1,0,-1
Math_1_ReplaceMagicNumber_163,P-2,1,1,0,-1
Math_1_ReplaceMagicNumber_163,P-2,2,1,0,-1
Math_1_ReplaceMagicNumber_163,P-3,1,1,0,-1
Math_1_ReplaceMagicNumber_163,P-3,2,1,0,-1
Math_1_ReplaceMagicNumber_163,P-4,1,1,0,-1
Math_1_ReplaceMagicNumber_163,P-4,2,1,0,-1
Math_1_ReplaceMagicNumber_181,P-1,1,1,0,-1
Math_1_ReplaceMagicNumber_181,P-1,2,1,0,-1
Math_1_ReplaceMagicNumber_181,P-2,1,1,0,-1
Math_1_ReplaceMagicNumber_181,P-2,2,1,0,-1
Math_1_ReplaceMagicNumber_181,P-3,1,1,0,-1
Math_1_ReplaceMagicNumber_181,P-3,2,1,0,-1
Math_1_ReplaceMagicNumber_181,P-4,1,1,0,-1
Math_1_ReplaceMagicNumber_181,P-4,2,1,0,-1
Math_1_ReplaceMagicNumber_157,P-1,1,1,0,-1
Math_1_ReplaceMagicNumber_157,P-1,2,1,0,-1
Math_1_ReplaceMagicNumber_157,P-2,1,1,0,-1
Math_1_ReplaceMagicNumber_157,P-2,2,1,0,-1
Math_1_ReplaceMagicNumber_157,P-3,1,1,0,-1
Math_1_ReplaceMagicNumber_157,P-3,2,1,0,-1
Math_1_ReplaceMagicNumber_157,P-4,1,1,0,-1
Math_1_ReplaceMagicNumber_157,P-4,2,1,0,-1
Math_1_ReplaceMagicNumber_195,P-1,1,1,0,-1
Math_1_ReplaceMagicNumber_195,P-1,2,1,0,-1
Math_1_ReplaceMagicNumber_195,P-2,1,1,0,-1
Math_1_ReplaceMagicNumber_195,P-2,2,1,0,-1
Math_1_ReplaceMagicNumber_195,P-3,1,1,0,-1
Math_1_ReplaceMagicNumber_195,P-3,2,1,0,-1
Math_1_ReplaceMagicNumber_195,P-4,1,1,0,-1
Math_1_ReplaceMagicNumber_195,P-4,2,1,0,-1
